Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,AD/average,Replicate ,Mutant,Condition ,Hour after treatment 
tvrR_T2h_csp_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.199,10.108,0.132,"30,737,622.00","32,842,554.00",0.024513032,2,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,13.921,13.639,0.26,"1,520,587.50","1,861,619.38",,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,13.588,13.639,0.26,"1,908,721.25","1,861,619.38",,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,13.409,13.639,0.26,"2,155,549.50","1,861,619.38",,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.77,8.745,0.027,"83,485,192.00","84,996,768.00",0.017889945,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.748,8.745,0.027,"84,796,656.00","84,996,768.00",0.022456398,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.716,8.745,0.027,"86,708,464.00","84,996,768.00",0.02536037,3,tvrR ,csp,2
procat_2h_csp_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.151,15.131,0.074,"658,163.19","667,750.81",,1,procat,csp,2
procat_2h_csp_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.193,15.131,0.074,"639,752.00","667,750.81",,1,procat,csp,2
procat_2h_csp_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.049,15.131,0.074,"705,337.38","667,750.81",,1,procat,csp,2
procat_T2h_csp_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.512,9.192,0.425,"49,673,956.00","64,086,880.00",0.010269858,1,procat,csp,2
