Sample,gene_name,Locus,Scaled reads per base,tpm,Genotype,Timepoint
ERS3382237,xerC_1,IONPJBJN_00012,1979.25332679651,62.1474793003505,tvr_rare,10 min post-CSP
ERS3382238,xerC_1,IONPJBJN_00012,1828.59903319935,57.3758177055751,tvr_rare,20 min post-CSP
ERS3382239,xerC_1,IONPJBJN_00012,1957.43081897094,60.9612984245747,tvr_domi,Pre-CSP
ERS3382240,xerC_1,IONPJBJN_00012,2199.67522879616,68.7356651431978,tvr_domi,10 min post-CSP
ERS3382241,xerC_1,IONPJBJN_00012,1979.84490553068,61.9395381475307,tvr_domi,20 min post-CSP
ERS3382242,xerC_1,IONPJBJN_00012,1825.18727784406,56.9330821613914,tvr_rare,Pre-CSP
ERS3382243,xerC_1,IONPJBJN_00012,1780.55483757451,55.8244352766028,tvr_rare,10 min post-CSP
ERS3382244,xerC_1,IONPJBJN_00012,1715.35219210546,54.3575745138269,tvr_rare,20 min post-CSP
ERS3382227,hsdS_2,IONPJBJN_00013,3401.23985132952,57.8125363222551,tvr_domi,Pre-CSP
ERS3382228,hsdS_2,IONPJBJN_00013,3528.96779048031,58.7681453012711,tvr_domi,10 min post-CSP
ERS3382229,hsdS_2,IONPJBJN_00013,3524.9221712668,57.8250256738108,tvr_domi,20 min post-CSP
ERS3382230,hsdS_2,IONPJBJN_00013,4068.93409509711,66.8122035906582,tvr_rare,Pre-CSP
ERS3382231,hsdS_2,IONPJBJN_00013,6206.44992477294,104.469389562891,tvr_rare,10 min post-CSP
ERS3382232,hsdS_2,IONPJBJN_00013,5836.43147700553,98.276570509905,tvr_rare,20 min post-CSP
ERS3382233,hsdS_2,IONPJBJN_00013,4581.51186706234,77.1944156839811,tvr_domi,Pre-CSP
ERS3382234,hsdS_2,IONPJBJN_00013,5919.18022226254,101.436548593117,tvr_domi,10 min post-CSP
ERS3382235,hsdS_2,IONPJBJN_00013,4905.36716082551,81.011228199304,tvr_domi,20 min post-CSP
ERS3382236,hsdS_2,IONPJBJN_00013,4213.7092412083,69.3558712122372,tvr_rare,Pre-CSP
ERS3382237,hsdS_2,IONPJBJN_00013,5953.55949723498,100.764406096233,tvr_rare,10 min post-CSP
ERS3382238,hsdS_2,IONPJBJN_00013,4715.26004655182,79.9589080413899,tvr_rare,20 min post-CSP
ERS3382239,hsdS_2,IONPJBJN_00013,4825.09465734698,80.9297701993555,tvr_domi,Pre-CSP
ERS3382240,hsdS_2,IONPJBJN_00013,4692.88418593897,79.2137626506201,tvr_domi,10 min post-CSP
ERS3382241,hsdS_2,IONPJBJN_00013,4627.00360575031,78.7541408207597,tvr_domi,20 min post-CSP
